year,month,region,v_com,v_neg,v_neu,v_pos,t_sub,t_pol,f_score
1996,01,ri,0.8562,0.037,0.911,0.052,0.36726868278592406,0.06530621358207567,-0.9989305138587952
1996,01,sf,0.9778,0.085,0.805,0.11,0.4041911552499788,0.09163475087004498,-0.9968764781951904
1996,01,sl,0.9983,0.007,0.88,0.113,0.3310520337748061,0.07243795808152244,-0.9985496401786804
1996,01,su,0.9902,0.072,0.828,0.1,0.38319203944203944,0.11619278098444771,-0.999479353427887
1996,03,at,0.9814,0.067,0.833,0.099,0.3770634239973861,0.058039287756268876,-0.9561235308647156
1996,03,bo,0.9958,0.068,0.796,0.136,0.38646960678210673,0.09946704770923522,-0.9977425336837769
1996,03,ch,0.9989,0.034,0.838,0.128,0.34695430116689957,0.07024070854779517,-0.9173843860626221
1996,03,cl,0.9926,0.052,0.83,0.117,0.3928812475403383,0.05613181326249506,-0.9950489401817322
1996,03,da,0.7642,0.131,0.744,0.125,0.41273312068048923,0.04881108073213336,-0.9995096921920776
1996,03,kc,0.9929,0.073,0.798,0.128,0.40748585207262883,0.04111778258472471,-0.9008761048316956
1996,03,mi,0.9977,0.069,0.809,0.121,0.4077545155993433,0.07519396551724136,-0.9954296350479126
1996,03,ny,0.9935,0.061,0.834,0.105,0.42431578667234376,0.09377643531332058,-0.5584129095077515
1996,03,ph,0.9961,0.039,0.867,0.094,0.33063559704184703,0.08188976821789325,-0.9840642213821411
1996,03,ri,0.9956,0.052,0.835,0.114,0.3856392552595085,0.09439268537369805,-0.9949371814727783
1996,03,sf,0.9894,0.069,0.824,0.107,0.3692179087340376,0.06634567642632161,-0.9959878325462341
1996,03,sl,0.4851,0.07,0.853,0.077,0.4016165297287747,0.02010248255146213,-0.9628812670707703
1996,03,su,0.9981,0.073,0.794,0.132,0.40248364417537336,0.07799576050515901,-0.9993318915367126
1996,05,at,0.9972,0.04,0.856,0.103,0.3581831400152011,0.08599418393311524,-0.9907171130180359
1996,05,bo,0.9922,0.025,0.881,0.093,0.3749601639495256,0.0926744458260416,-0.9419858455657959
1996,05,ch,0.9982,0.06,0.816,0.125,0.41532463159735894,0.06902012549739822,-0.9054368734359741
1996,05,cl,0.9974,0.066,0.776,0.158,0.4672471015574463,0.10056028262924811,-0.9539989233016968
1996,05,da,0.901,0.121,0.765,0.115,0.3810568345795619,0.06521062901744722,-0.9941328167915344
1996,05,kc,0.9636,0.06,0.844,0.096,0.3853976270642938,0.06965021530497721,0.5744293332099915
1996,05,mi,0.9979,0.059,0.826,0.115,0.45903763601876835,0.07085754217829686,-0.8998705744743347
1996,05,ny,-0.9571,0.079,0.86,0.061,0.4004526214526214,0.051579846079846066,-0.9996577501296997
1996,05,ph,0.9968,0.023,0.868,0.109,0.37337582170915506,0.1318197350489017,-0.9663612246513367
1996,05,ri,0.9955,0.042,0.855,0.103,0.3735055685055686,0.04637432012432015,-0.9984349608421326
1996,05,sf,0.9971,0.038,0.833,0.13,0.36285526973026977,0.10993350399600396,0.9199925661087036
1996,05,sl,-0.0885,0.055,0.884,0.061,0.39146580833496725,0.06035703393180028,-0.9935060739517212
1996,05,su,0.9883,0.068,0.846,0.086,0.3974510925582353,0.11143573490002062,-0.9626258015632629
1996,06,at,0.9973,0.023,0.871,0.106,0.37353449711208325,0.12171881279639903,-0.9640476107597351
1996,06,bo,0.9897,0.036,0.876,0.088,0.3693555142773893,0.061548174048174066,-0.9990721940994263
1996,06,ch,0.9993,0.028,0.832,0.14,0.4151685743634897,0.1282604189595715,-0.9724951386451721
1996,06,cl,0.9973,0.041,0.799,0.16,0.42188807176758986,0.077491263756324,-0.9531415104866028
1996,06,da,0.9985,0.075,0.761,0.164,0.4151433561246645,0.13126539089155906,-0.9944227337837219
1996,06,kc,0.9976,0.057,0.803,0.14,0.3957803545660688,0.0579318954854669,0.5019379258155823
1996,06,mi,0.9986,0.039,0.835,0.125,0.4285259142235887,0.06429272708342477,-0.905702531337738
1996,06,ny,0.9927,0.052,0.854,0.094,0.4324008963033352,0.0673701591994275,-0.9659985899925232
1996,06,ph,0.9974,0.032,0.856,0.112,0.363967044067044,0.11463123265623264,-0.9907333850860596
1996,06,ri,0.9976,0.064,0.812,0.124,0.38410783660783654,0.07826230637254258,-0.9919032454490662
