year,month,region,filesize
1976,10,sf,4719
1976,10,sl,5097
1976,10,su,5771
1976,11,at,6178
1976,11,bo,4618
1976,11,ch,5027
1976,11,cl,5449
1976,11,da,5432
1976,11,kc,5977
1976,11,mi,4918
1976,11,ny,6454
1976,11,ph,5407
1976,11,ri,5054
1976,11,sf,4775
1976,11,sl,4937
1976,11,su,6397
1976,12,at,6046
1976,12,bo,5041
1976,12,ch,6519
1976,12,cl,6407
1976,12,da,5759
1976,12,kc,4985
1976,12,mi,4503
1976,12,ny,4524
1976,12,ph,6264
1976,12,ri,4845
1976,12,sf,4021
1976,12,sl,5248
1976,12,su,4737
1977,01,at,5164
1977,01,bo,4208
1977,01,ch,5072
1977,01,cl,6214
1977,01,da,4357
1977,01,kc,5537
1977,01,mi,5128
1977,01,ny,5533
1977,01,ph,4384
1977,01,ri,4813
1977,01,sf,4949
1977,01,sl,5213
1977,01,su,6618
1977,02,at,5288
1977,02,bo,5736
1977,02,ch,5003
1977,02,cl,6881
1977,02,da,6101
1977,02,kc,5368
1977,02,mi,5069
1977,02,ny,5826
1977,02,ph,5767
1977,02,ri,4650
1977,02,sf,5019
1977,02,sl,4447
1977,02,su,7103
1977,03,at,6081
1977,03,bo,6472
1977,03,ch,5894
1977,03,cl,7794
1977,03,da,6020
1977,03,kc,5715
1977,03,mi,4481
1977,03,ny,5722
1977,03,ph,5667
1977,03,ri,4649
1977,03,sf,5345
1977,03,sl,4328
1977,03,su,5844
1977,04,at,7437
1977,04,bo,5734
1977,04,ch,5473
1977,04,cl,6763
1977,04,da,5570
1977,04,kc,5447
1977,04,mi,4250
1977,04,ny,5915
1977,04,ph,6235
1977,04,ri,4737
1977,04,sf,4600
1977,04,sl,4858
1977,04,su,6737
1977,05,at,7230
1977,05,bo,5486
1977,05,ch,5545
1977,05,cl,9499
1977,05,da,5815
1977,05,kc,4209
1977,05,mi,5229
1977,05,ny,5089
1977,05,ph,6020
1977,05,ri,5215
1977,05,sf,6221
1977,05,sl,4924
1977,05,su,5021
1977,06,at,6383
1977,06,bo,5640
1977,06,ch,5538
1977,06,cl,9174
1977,06,da,4671
1977,06,kc,4873
1977,06,mi,4154
1977,06,ny,5626
1977,06,ph,5901
1977,06,ri,5229
1977,06,sf,4839
1977,06,sl,6067
1977,06,su,6536
1977,07,at,6758
1977,07,bo,5100
1977,07,ch,5481
1977,07,cl,5127
1977,07,da,5567
1977,07,kc,4723
1977,07,mi,4575
1977,07,ny,5411
1977,07,ph,5396
1977,07,ri,4843
1977,07,sf,5255
1977,07,sl,5460
1977,07,su,5248
1977,08,at,5672
1977,08,bo,4921
1977,08,ch,5412
1977,08,cl,6815
1977,08,da,5501
1977,08,kc,5654
1977,08,mi,5230
1977,08,ny,6100
1977,08,ph,5913
1977,08,ri,4894
1977,08,sf,5150
1977,08,sl,4737
1977,08,su,6635
1977,09,at,6384
1977,09,bo,6234
1977,09,ch,5308
1977,09,cl,7721
1977,09,da,5417
1977,09,kc,4774
1977,09,mi,4146
1977,09,ny,5386
1977,09,ph,5538
1977,09,ri,5379
1977,09,sf,4474
1977,09,sl,4614
1977,09,su,6387
1977,10,at,5570
1977,10,bo,3854
1977,10,ch,5275
1977,10,cl,7160
1977,10,da,5598
1977,10,kc,5214
1977,10,mi,3542
1977,10,ny,5303
1977,10,ph,5359
1977,10,ri,5205
1977,10,sf,4979
1977,10,sl,3654
1977,10,su,5696
1977,11,at,6188
1977,11,bo,5130
1977,11,ch,5709
1977,11,cl,6618
1977,11,da,5044
1977,11,kc,4796
1977,11,mi,4082
1977,11,ny,5168
1977,11,ph,4994
1977,11,ri,4880
1977,11,sf,5693
1977,11,sl,4719
1977,11,su,4511
1977,12,at,4615
1977,12,bo,5284
1977,12,ch,5491
1977,12,cl,7054
1977,12,da,5576
1977,12,kc,5041
1977,12,mi,3500
1977,12,ny,5181
1977,12,ph,5414
1977,12,ri,5836
1977,12,sf,5227
1977,12,sl,4266
1977,12,su,5513
1978,01,at,5242
1978,01,bo,5479
1978,01,ch,5604
1978,01,cl,6777
1978,01,da,5362
1978,01,kc,5150
1978,01,mi,4815
1978,01,ny,4898
1978,01,ph,5410
1978,01,ri,4856
1978,01,sf,5564
1978,01,sl,3887
1978,01,su,5904
1978,02,at,7364
1978,02,bo,6131
1978,02,ch,6570
1978,02,cl,6616
1978,02,da,3230
1978,02,kc,5684
1978,02,mi,4572
1978,02,ny,5344
1978,02,ph,5829
1978,02,ri,5477
1978,02,sf,5183
1978,02,sl,5423
1978,02,su,8876
1978,03,at,5787
1978,03,bo,6413
1978,03,ch,5434
1978,03,cl,7499
1978,03,da,5498
1978,03,kc,5653
1978,03,mi,4156
1978,03,ny,4033
1978,03,ph,5218
1978,03,ri,4250
1978,03,sf,5019
1978,03,sl,5326
1978,03,su,6737
1978,04,at,6763
1978,04,bo,5715
1978,04,ch,5364
1978,04,cl,5973
1978,04,da,5649
1978,04,kc,5441
1978,04,mi,4400
1978,04,ny,5081
1978,04,ph,5479
1978,04,ri,4638
1978,04,sf,3787
1978,04,sl,4948
1978,04,su,4068
1978,05,at,4921
1978,05,bo,5087
1978,05,ch,4528
1978,05,cl,5825
1978,05,da,5261
1978,05,kc,4588
1978,05,mi,4344
1978,05,ny,5283
1978,05,ph,4532
1978,05,ri,4810
1978,05,sf,4124
1978,05,sl,5345
1978,05,su,4962
1978,06,at,6135
1978,06,bo,5487
1978,06,ch,6296
1978,06,cl,6889
1978,06,da,5543
1978,06,kc,5699
1978,06,mi,4369
1978,06,ny,4757
1978,06,ph,6139
1978,06,ri,5163
1978,06,sf,5203
1978,06,sl,4789
1978,06,su,4756
1978,07,at,4230
1978,07,bo,4477
1978,07,ch,5437
1978,07,cl,6161
1978,07,da,5146
1978,07,kc,4964
1978,07,mi,3599
1978,07,ny,5114
1978,07,ph,5696
1978,07,ri,5664
1978,07,sf,4309
1978,07,sl,4118
1978,07,su,5039
1978,08,at,5274
1978,08,bo,4497
1978,08,ch,5561
1978,08,cl,5037
1978,08,da,4935
1978,08,kc,5456
1978,08,mi,4525
1978,08,ny,5038
1978,08,ph,5167
1978,08,ri,5059
