year,month,region,v_com,v_neg,v_neu,v_pos,t_sub,t_pol
1983,11,ny,0.9923,0.059,0.831,0.111,0.39185216652506366,0.0903397459238581
1983,11,ph,0.9992,0.035,0.815,0.15,0.3364268704916188,0.06646391378405768
1983,11,ri,0.9739,0.027,0.899,0.073,0.39102918280549853,0.06362912489557228
1983,11,sf,0.9972,0.076,0.77,0.154,0.4108869191919192,0.09181535353535353
1983,11,sl,0.9967,0.035,0.846,0.119,0.4490073145245559,0.10438809275016173
1983,11,su,0.999,0.045,0.785,0.17,0.4543711532231939,0.1281821862944312
1983,12,at,0.9993,0.02,0.827,0.153,0.39611380889641756,0.17182191480017567
1983,12,bo,0.9974,0.057,0.799,0.144,0.4421349728702668,0.09490811476105594
1983,12,ch,0.9938,0.077,0.812,0.111,0.4192209932252305,0.0377086237679458
1983,12,cl,0.9979,0.065,0.8,0.135,0.3628415142280689,0.03941394040133536
1983,12,da,0.9982,0.038,0.801,0.161,0.4626541950113377,0.10842573696145125
1983,12,kc,0.9926,0.053,0.848,0.098,0.4240941674812642,0.09551063631708792
1983,12,mi,0.9953,0.035,0.873,0.092,0.37533651686229014,0.16083008286101072
1983,12,ny,0.9971,0.049,0.816,0.135,0.4522108100233099,0.09384833916083918
1983,12,ph,0.999,0.036,0.823,0.141,0.3479591567852438,0.09273847167325427
1983,12,ri,0.9984,0.038,0.791,0.17,0.43864246031746035,0.0648153318903319
1983,12,sf,0.9967,0.032,0.857,0.111,0.40395743145743124,0.12985389610389608
1983,12,sl,0.9978,0.029,0.847,0.125,0.43309167158598977,0.15820604584809125
1983,12,su,0.9596,0.07,0.834,0.097,0.4710362554112554,0.14405062530062535
1984,01,at,0.9992,0.056,0.791,0.154,0.43173955825595184,0.12037018309559294
1984,01,bo,0.9982,0.04,0.803,0.158,0.46751820728291305,0.17938935574229686
1984,01,ch,0.9986,0.055,0.819,0.126,0.4987521605378749,0.09228783782355211
1984,01,cl,0.9978,0.067,0.796,0.137,0.3914705664705665,0.04327755577755578
1984,01,da,0.9979,0.053,0.797,0.149,0.41765440373579904,0.11317805837573279
1984,01,kc,0.9269,0.08,0.817,0.103,0.4170858965595808,0.06860446570972888
1984,01,mi,0.9974,0.053,0.792,0.155,0.45994566197691217,0.09978727002164502
1984,01,ny,0.9979,0.056,0.798,0.146,0.42595445334807025,0.08352848392742013
1984,01,ph,0.9988,0.016,0.835,0.149,0.3601623713773247,0.13267393561786087
1984,01,ri,0.999,0.032,0.779,0.189,0.44484882661198466,0.15640966051492364
1984,01,sf,0.999,0.027,0.825,0.149,0.44896715453858316,0.10925486154057583
1984,01,sl,0.9961,0.033,0.851,0.116,0.40014673311184945,0.11604235880398671
1984,01,su,0.9882,0.081,0.795,0.125,0.45762969557324396,0.20283671973188103
1984,03,at,0.9919,0.073,0.812,0.114,0.42821358295384265,0.09776184854106931
1984,03,bo,0.9981,0.05,0.782,0.168,0.4807227201593398,0.14240147958457822
1984,03,ch,0.9786,0.084,0.812,0.103,0.4068873209030689,0.0653160400404495
1984,03,cl,0.9905,0.068,0.836,0.096,0.3856500166500166,0.05153484015984015
1984,03,da,0.9979,0.038,0.819,0.143,0.3905613119074656,0.07617723800416107
1984,03,kc,0.9902,0.029,0.885,0.086,0.43704387230703007,0.12055419483051065
1984,03,mi,0.9987,0.043,0.813,0.144,0.46402597402597423,0.16755170755170753
1984,03,ny,0.9984,0.044,0.794,0.162,0.3551827528532074,0.08708161157024794
1984,03,ph,0.9994,0.032,0.81,0.158,0.3975310760667904,0.1065662105751391
1984,03,ri,0.9986,0.016,0.82,0.164,0.44896706668858566,0.12692133815551535
1984,03,sf,0.9992,0.044,0.793,0.163,0.44549609289016073,0.11249174554259299
1984,03,sl,0.983,0.046,0.85,0.103,0.4073634453781512,0.12640756302521008
1984,03,su,0.9984,0.07,0.779,0.151,0.46716885238944056,0.09641127663186484
1984,05,at,0.9993,0.045,0.8,0.156,0.4374427952999381,0.13499536178107607
1984,05,bo,0.9939,0.086,0.772,0.142,0.47012804097311145,0.08625243887567832
1984,05,ch,0.8815,0.099,0.797,0.105,0.40889872753509116,0.025705512921422025
1984,05,cl,0.9983,0.047,0.822,0.131,0.3996710460082553,0.09682296385784758
1984,05,da,0.9962,0.09,0.749,0.161,0.39772717522717527,0.14656321906321904
1984,05,kc,0.9813,0.089,0.796,0.115,0.39986889940378295,0.022483864111771095
1984,05,mi,0.9845,0.051,0.859,0.09,0.3392050216450216,0.08463321789321789
1984,05,ny,0.9961,0.042,0.849,0.109,0.37519797026872465,0.06705658335375321
1984,05,ph,0.9991,0.017,0.849,0.134,0.36608153751010886,0.08127404808077077
